market_constraint,dayzer_constraint,pano_constraint
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,WALTON_3_345 KV_2:L765.Dumont-Wilton Center.11215,LINE    138 KV  Roxana-Praxair 1 138 kV l/o Wilton Center-Dumont 765 kV FG 112 WILT765 KV  11215 Z1CMPSERD DUMMY   112 WILT765 KV  11215ILKDIS     OPEN    112 WILT765 KV  BT3-
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:L765.Marysville-Sorenson,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) L765.Marysville-Sorenson
DOEX530 345 KV  203T,DOEX530_345 KV_203T:ACTUAL,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T) BASE
DOEX530 345 KV  208T,DOEX530_345 KV_208T:ACTUAL,DOEX530 345 KV  208T BASE
BOONETWN230 KV  BOO-SRE,BOONETWN_230 KV_BOO-SRE:TEMP:500/230.Lauschtown T3 + 5012,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE) TEMP:500/230.Lauschtown T3 + 5012
23 COLLI 345 KV 23 COLLINS 45TR92 CT,23 COLLI_345 KV_TR92CT-S:L765.Collins - Plano.2315,23 COLLI 345KV - 23 COLLI 1KV (23 COLLI 345 KV TR92CT-S) L765.Collins - Plano.2315
ALLENIM 345 KV  ALL-RPM,ALLENIM_345 KV_ALL-RPM:L765.Marysville-Sorenson,RPMONE 345KV - ALLENIM 345KV (ALLENIM 345 KV ALL-RPM) L765.Marysville-Sorenson
94 HAURD138 KV 96101,94 HAURD_138 KV_96101:ACTUAL,961 LEE 138KV - 94 HAURD 138KV (94 HAURD 138 KV 96101) L345.Lasalle - Plano.0101
PRESTON-TANYARD 6716-5 B 69 KV,PRESTON_69 KV_PRE-TAN:230/138.Vienna.AT20,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) L230.Steele-Vienna.23085 & 230/138.Vienna.AT20
TMI 500 KV TMI 1 BANK XFORMER,TMI_500 KV_1 BANK:L500.Conastone-PeachBottom.5012,TMI 500KV - TMI 230KV (TMI 500 KV 1 BANK) L500.Conastone-PeachBottom.5012
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,LAFAYSOU_138 KV_LAF-SHA:Westwood-08NW_Tap-WLafyett 138+Purdue-Lafaycin 138,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV Westwood-08NW_Tap-WLafyett 138
LORETTO 138 KV LORETTO-VIENNA 13780,PINEYGRO_230 KV_AT20:L138.Loretto-Vienna.13780,PINEYGRO 230KV - PINEYGRO 138KV (PINEYGRO 230 KV AT20) L138.Loretto-Vienna.13780
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,DUNEACRE_138 KV_DUN-MIC1:Dumont-Wilton Center 765kV,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV L765.Dumont-WiltonCenter.11215
COOLSPRI230 KV  COL-MIL,COOLSPRI_230 KV_COL-MIL:L230.IndianRiver-Milford.23034,MILFORD 230KV - COOLSPRI 230KV (COOLSPRI 230 KV COL-MIL) L230.IndianRiver-Milford.23034
945 CRET 345 KV CRETEIPP-STJOHNS,STJOHNS_345 KV_2:Dumont-Wilton Center 765kV,66 E FRN-945 CRET 6607      A  345 KV L765.Dumont-Wilton Center.11215
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,4 QUAD C_345 KV_TR1 18:ACTUAL,4 QUAD C 18KV - 4 QUAD C 345KV (4 QUAD C 345 KV TR1 18) BASE
PLEASNTV-ASHBURN 274D A 230 KV,PLEASNTV_230 KV_274D:L230.GooseCreek-Ashburn-Beaumeade.227,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D) TEMP.GooseCreek-Ashburn-Beaumeade.227+BLMNT.CLO
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,PRES_138 KV_PRE-TIBB:Aster - CMDR 345 kV,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB) Aster - CMDR 345 kV
CONASTON 230 KV CONASTON-NORTHWES 2322,NORTHWES230 KV 230-3 Conastone-Northwest (2322) 230 KV & N.West #2 tx,CONASTON-NORTHWES 2322      A   230 KV L230.Conastone-Northwest.2310
74 KEWAN B1Z1 DIS              138 KV,74 KEWAN_138 KV_BTIE Z1:L138.Corbin-CrescentRidge.98105,74 KEWAN B1Z5 DIS              138 KV L138.Corbin-CrescentRidge.98105
4 QUAD C345 KV  TR2 18,4 QUAD C_345 KV_TR2 18:ACTUAL,4 QUAD C 18KV - 4 QUAD C 345KV (4 QUAD C 345 KV TR2 18) BASE
FACEROCK69 KV   FAROZBR,FACEROCK_69 KV_FAROZBR:(NUKE) L500.PeachBottom-Conastone.5012,FACEROCK FAROZBR  SER DEV   A  69 KV L500.Conastone-PeachBottom.5012
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B) L500.Carson-Midlothian.563
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:230/115.Lewistown.T3,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX) 230/115/46.Lewistown.T2&T3
BENTONHA138 KV  BEN-WES1,BENTONHA_138 KV_BEN-WES1:ACTUAL,BENTONHA 138KV - WESTSTRE 138KV (BENTONHA 138 KV BEN-WES1) BASE
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,177 BURN_345 KV_BUR-SHE1:345L17703 Burnham-Munster 345 kV Tie Line,177 BURN 345KV - MUNSTER2 345KV (177 BURN 345 KV BUR-MUN1) L765.Dumont-WiltonCenter.11215
CONASTON 230 KV CONASTON-NORTHWES 2322,NORTHWES230 KV 230-3 Conastone-Northwest (2322) 230 KV & N.West #2 tx,CONASTON-NORTHWES 2322      A  230 KV L500.Bedington-Black Oak + L500.Brighton-Conastone
GRACETON_230KVGRA-MANO_1_LN,GRACETON_230 KV_GRA-MANO:L500.Conastone-PeachBottom.5012,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO) L500.Conastone-PeachBottom.5012
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA_230 KV_ETO-SCO:L345.Mainesburg-Watercure [NYISO],ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) L345.Mainesburg-Watercure [NYISO]
CEDARCRE230 KV  CED-SIL,CEDARCRE_230 KV_CED-SIL:L230.Cartanza-Milford.23033,SILVERUN 230KV - CEDARCRE 230KV (CEDARCRE 230 KV CED-SIL) L230.Cartanza-Milford.23033
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,LINVFT_230 KV_LIN-VFT1:ACTUAL,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1) BASE
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,DUMONT2_345 KV_DUM-TWI1:L765.Dumont-Wilton Center.11215,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV L765.Dumont-WiltonCenter.11215
FREMNT  138 KV  FRE-WFR1,FREMNT_138 KV_FRE-WFR1:ACTUAL,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1) BASE
PA-CENT CONTINGENCY 1,ALBURTIS_500 KV_ALB-BRN1:L500.Juniata-Sunbury.5046,TRANSFER INTERFACE: PA-CENT L500.Juniata-Sunbury.5046
74 KEWAN B1Z1 DIS             138 KV,74 KEWAN_138 KV_BTIE Z1:L138.Corbin-CrescentRidge.98105,74 KEWAN B1Z5 DIS              138 KV L138.Corbin-CrescentRidge.98105
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,SB 71 6_161 KV_62230622:L345.Oakgrove-Louisa (MEC),DAVNPRT6 161KV - SB 85 56 161KV (DAVNPRT6 161 KV 62211622) L345.Oakgrove-Louisa (MEC)
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,3 POWERT_138 KV_POW-TWRL:L345.Fargo-Sandbrg,SANDBRG 161KV - SANDBRG 138KV (SANDBRG 161 KV TR3) Oak Grove - Sandburg 345 kV
12 DRESDEN 45TR81 CT H 345 KV,12 DRESD_345 KV_TR81CT-P:L345.Lockport-Kendall.10805,12 DRESD 345KV - 12 DRESD 1KV (12 DRESD 345 KV TR81CT-P) L345.Lockport-Kendall.10805
KINGSTON69 KV   KST-WOR,KINGSTON_69 KV_KST-WOR:ACTUAL,WOVERDPL 69KV - KINGSTON 69KV (KINGSTON 69 KV KST-WOR) BASE
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,08LAFYTE_138 KV_08L-LAF2:Westwood-08NW_Tap-WLafyett 138,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV Westwood-08NW_Tap-WLafyett 138
WHITESTN 115 KV WHITESTN-HARMONYV 65A,HARMONYV_230 KV_TX2:L230.Fredericksburg-Birchwood.2083,WHITESTN-HARMONYV 65A       B  115 KV L230.Fredericksburg-Birchwood.2083
JUNIATA 2 XFORMER H 500 KV,JUNIATA_500 KV_2:500/230.Juniata.T1,TRANSFER INTERFACE: 50045005 500/230.Juniata.T1 + SouthBus + 500.Cap2&3
GARRETAP-GARRETT B 115 KV,GARRETAP_115 KV_GAR-PEN:ACTUAL,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR) L500.BlackOak-Hatfield
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:North Meshoppen - Mehoopany2 115 kV line,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1) North Meshoppen - Mehoopany2 115 kV line
GRACETON230 KV  GRA-MANO,GRACETON_230 KV_GRA-MANO:L500.Conastone-PeachBottom.5012,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO) L500.Conastone-PeachBottom.5012
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,NOTTINGHM 2-3 SER DEV       A  230 KV 500/230.Conastone.500-4
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_500-4:TEMP: TMI-PeachBot 5007 & PeachBot-Conastone 5012,50045005 CONASTON500 KV  500 B CBCB      OPEN    CONASTON500 KV  500 C CBCB      OPEN    PEACHBOT500 KV  235
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,CEDARGRO_230 KV_CED-CLIB:L230.CedarGrove-Clifton-Athenia.K-2263,CEDARGRO-CLIF  B-2228-3 PS  A  230 KV L230.CedarGrove-Clifton-Athenia.K-2263 + Ath.T2
BRIGHTON 6AB           CB      500 KV,GRANITE_230 KV_GRA-NOR6:L500.Brighton-Conastone,LINE    230 KV  GRA-RAP BRIGHTON500 KV  6AB     CB      OPEN    BRIGHTON500 KV  6BB     CB      OPEN    CONASTON500 KV  500
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,HILG_138 KV_HIL-TURK:Prairie State-W Mt. Vernon 345,Turkey Hill-Ashley 138 kV l/o Prairie St-W Mt Vernon 345 kV Prairie State-W Mt. Vernon 345
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,SANDBRG_161 KV_TR3:Oak Grove - Sandburg 345 kV,SANDBRG 161KV - SANDBRG 138KV (SANDBRG 161 KV TR3) Oak Grove - Sandburg 345 kV
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:L138.Springdale-All4Jct-All4Tap-All6-Brackenridge,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) L138.Springdale-All4Jct-All4Tap-All6-Brackenridge
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_500-4:TEMP: TMI-PeachBot 5007 & PeachBot-Conastone 5012,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA) L500.Hunterstown-Conastone.5013
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,CHARLTSV_230 KV_2054B1:L500.Elmont-Cunningham.553,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1) L500.Elmont-Cunningham.553
MT.VERNON-W.SALEM 138 KV L/O XENIA-NEWTON 345 KV,MT VRNO3_345 KV_TX00:Mt Vernon-Xenia 345 kV,Mt.Vernon-W.Salem 138 kV l/o Xenia-Newton 345 kV Xenia-Newton (31330323) 345 Line
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA) L230.Graceton-Bagley-RaphaelRoad.2313
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-RAP5:L500.Brighton-Conastone.5011,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA) L500.Brighton-Conastone.5011
ASHBURN-GOOSECRE 227D       B  230 KV,GOOSECRE_500 KV_TX1:L230.Beaumead-Ashburn-PleasantView.274,GOOSECRE 230KV - ASHBURN 230KV (ASHBURN 230 KV ASH-GOOS) L230.Beaumead-Ashburn-PleasantView.274
MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,MARDELA-VIENNA 6708-1       A  69 KV L138.Loretto-Vienna.13780
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:L345.EastLima-MaddoxCreek,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) L345.EastLima-MaddoxCreek
FREMNT-FREMONTC A 138 KV,FREMNT_138 KV_FRE-FRE1:L138/69.Fremont.T1 + 69.Fremont.Bus,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1) L138/69.Fremont.T1 + 69.Fremont.Bus
CUSHAW 115 KV CUSHAW -BALCFALL 28A,CUSHAW_115 KV_28A:ACTUAL,BALCFALL 115KV - CUSHAW 115KV (CUSHAW 115 KV 28A) BASE
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:L500.Conastone-PeachBottom.5012,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN) L500.Conastone-PeachBottom.5012
BUTLER  69 KV   BUT-SHE,BUTLER_69 KV_BUT-SHE:L69.Sherman-Vineland.0761,SHERMAN 69KV - BUTLER 69KV (BUTLER 69 KV BUT-SHE) L69.Sherman-Vineland.0761
NEWCARLI138 KV  NEW-PLE,NEWCARLI_138 KV_NEW-PLE:ACTUAL,NEWCARLI 138KV - PLETCHER 138KV (NEWCARLI 138 KV NEW-PLE) 345/138.BentonHarbor.T1 (Sctnlz)
LENOX 115 KV LENOX-NMESHOPP NML 1090,LENOX_115 KV_LEN-NME:Lenox-NMeshopp 1090 & Lackawanna-OXBOW DBL,NMESHOPP 115KV - LENOX 115KV (LENOX 115 KV LEN-NME) L500.Hopatcong-Lackawanna.5063
CEDARSUB230 KV CED-WILF,CEDARSUB_230 KV_CED-WILF:L230.CedarGrove-CedarSub-Roseland.Y-2277,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF) L230.CedarGrove-CedarSub-Roseland.Y-2277
GRABILL 138 KV GRABILL-ROBISONP,GRABILL_138 KV_GRA-ROB1:L138.Auburn-Varner,ROBISONP 138KV - GRABILL 138KV (GRABILL 138 KV GRA-ROB1) L138.Auburn-Varner
MOUN UGI 230 KV MOUN UGI 3 XFORMER,MOUN UGI_230 KV_3:ACTUAL,MOUN UGI230 KV  2 Mountain XF3 (UGI) w/ 23030 closed
CEDARSUB230 KV CED-WILF,CEDARSUB_230 KV_CED-WILF:L500.Hopatcong-Ramapo.5018,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF) L500.Hopatcong-Ramapo.5018
HOPECREE230 KV  HOP-SIL,HOPECREE_230 KV_HOP-SIL:L500.HopeCreek-RedLion.5015,HOPECREE 230KV - SILVERUN 230KV (HOPECREE 230 KV HOP-SIL) L500.HopeCreek-RedLion.5015
MERIDIAN345 KV  MER-TWI1,MERIDIAN_345 KV_MER-TWI1:L765.Dumont-Sorenson,TWINBRAN 345KV - MERIDIAN 345KV (MERIDIAN 345 KV MER-TWI1) L765.Dumont-Sorenson
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:L138.Kittanning-AllDam6,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) L138.Kittanning-AllDam6 + Seneca 1
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,ALLDAM6_138 KV_ALL-KIT:BUTL APS-KARNSCIT (APS),BUTL APS-KARNSCIT KC-BT     A  138 KV L138.Armstrong-Garrn Jct-Kiski Valley-Kittanning
LOGTOWN 138 KV  LOG-NDEL,LOGTOWN_138 KV_LOG-NDEL:L765.Marysville-Sorenson,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL) L765.Marysville-Sorenson
KRENDALE 138 KV KRENDALE-SHANORMA KND-BT,KRENDALE_138 KV_KRE-SHA:L500.Cabot-Cranberry,SHANORMA 138KV - KRENDALE 138KV (KRENDALE 138 KV KRE-SHA) L500.Cabot-Cranberry
EWATERVT138 KV  EAS-WES,EWATERVT_138 KV_EAS-WES:ACTUAL,WESTSTRE 138KV - EWATERVT 138KV (EWATERVT 138 KV EAS-WES) L345.Cook-Segreto
LACKAWAN-OXBOW ETP 2004 A 230 KV,LACKAWAN_500 KV_4:TEMP:DBL.Lackawanna-Paupack+Lackawanna-Oxbow-Nmesh,LACKAWAN-OXBOW ETP 2004     A  230 KV Susquehanna.U1 (for SA)
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:L500.Brighton-Conastone.5011,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5) L500.Brighton-Conastone.5011
REMNTNCT230 KV  299A,REMNTNCT_230 KV_299A:L230.Remington-RemingtonCT.2077,MARSHRUN 230KV - REMNTNCT 230KV (REMNTNCT 230 KV 299A) L230.Remington-RemingtonCT.2077
JORDAN - WFRANKFORT E 138KV L/O JORDAN - MASSAC 345KV,E W FKF3_138 KV_EWF-JORD:Jordan- Massac 345kV,JORD 138KV - E W FKF3 138KV (E W FKF3 138 KV EWF-JORD) Jordan- Massac 345kV
COLLEGEC 138 KV COLLEGEC-COLLINSV,COLLINSV_138 KV_HUS-COL:L765.Marysville-Sorenson,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6) L765.Marysville-Sorenson
HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,HARWOOD_230 KV_HAR-SUS2:L230.Harwood-Susquehanna.1,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS2) L230.Harwood-Susquehanna.1 + 230/69.Harwood.T5
MAYWOOD 230 KV MAYWOOD-SADDLEBR G-2259,BERGEN_230 KV_BER-LEO:L230.Maywood-Saddlebrook.G-2259,MAYWOOD-SADDLEBR G-2259     B  230 KV HUDSON 220-2 LINE(HUDSON BUS TIES CLOSED)
MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:230/138.PineyGrove.AT20,MARDELA-VIENNA 6708-1      B  69 KV 230/138.PineyGrove.AT20+L230.PinyGrve-IndinR.23002
KOKOMO - TIPTON W. 230KV L/O NUCOR - CAYUGA 345KV,KOKOMOPS_230 KV_KOK-NEW1:Nucor-Cayuga 345 kV,KOKOMOPS 230KV - TIPTON W 230KV (KOKOMOPS 230 KV KOK-TIP) L345.Cayuga-Nucor (CIN)
GREYSPT 115 KV  GRE-HARM,GREYSPT_115 KV_GRE-HARM:L230.Fredericksburg-Birchwood.2083,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM) L230.Fredericksburg-Birchwood.2083
MAROA -E GOOSECREEK 345 KV L/O WILTON CENTER-DUMONT 765 KV FG,66 E FRN_345 KV_6608:L765.Dumont-Wilton Center.11215,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV L765.Dumont-WiltonCenter.11215
BRUNNERI 230 KV BRUNNERI-YORKANA 1055,BRUNNERI_230 KV_BRU-YOR:L500.Conastone-PeachBottom.5012,BRUNNERI-YORKANA 1055       A  230 KV L500.Conastone-Peach Bottom.5012
PARADISE-BR TAP 161KV L/O WILSON BR UNIT 1,BR_TAP_161 KV_BRT-PAR:Wilson Unit 1,PARADIS 161KV - BR_TAP 161KV (BR_TAP 161 KV BRT-PAR) Wilson Unit 1
RISING BONDVILL 138 KV L/O RISING SIDNEY 345 KV,NCHAMPGN_138 KV_NCH-PERK:Sidney-Rising 345 kV,RISING 138KV - BONDVIL 138KV (RISING 138 KV 1642) L345.Rising-Sidney
MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV,CHAMP T3_138 KV_1592 2:L345.Oreana-Maroa-Clinton-GooseCreek,MAHOMET 138KV - CHAMP T3 138KV (CHAMP T3 138 KV 1592   2) L345.Oreana-Maroa-Clinton-GooseCreek
TRENTON2138 KV  TRE-COL1,TRENTON2_138 KV_TRE-COL1:ACTUAL,TRENTON2138 KV  HUS-TRE TANNERS CREEK DEARBORN1 345KV LINE
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:L500.Brighton-Conastone,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC) L500.Brighton-Conastone.5011
EASTON-EMUNI 6772 A 69 KV,EASTON_69 KV_EAS-EMU:ACTUAL,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU) Jefferson-Rockport 765+Rockport Unit 1
16901   138 KV  16901 Z1,16901_138 KV_16901 Z1:ACTUAL,979 MEND 138KV - 16901 138KV (16901 138 KV 16901 Z1) Tidd.Cardinal.U1
BRAMBLET230 KV  BRA-EVRG,BRAMBLET_230 KV_BRA-EVRG:L230.Brambleton-PolandRoad.2183,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG) L230.Brambleton-PolandRoad.2183
74 KEWAN B1Z5 DIS              138 KV,74 KEWAN_138 KV_BTIE Z1:L138.Corbin-CrescentRidge.98105,74 KEWAN B1Z5 DIS              138 KV L138.Corbin-CrescentRidge.98105
HANOVER 69 KV   HAN-PAR,HANOVER_69 KV_HAN-PAR:ACTUAL,PARRISPL 69KV - HANOVER 69KV (HANOVER 69 KV HAN-PAR) 230/69.Mountain.T3(UGI)
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-4,GRACETON-SAFEHARB 2303      A  230 KV L500.Brighton-Conastone
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:L765.Marysville-Sorenson,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL) L765.Marysville-Sorenson
VIENNA 230 KV VIENNA AT20 TRANSFORMER,VIENNA_230 KV_AT20:L230.IndianRiver-Milford.23034,MILFORD 230KV - COOLSPRI 230KV (COOLSPRI 230 KV COL-MIL) L230.IndianRiver-Milford.23034 & L230.Steele-Vienna.23085 & 230/138.Vienna.AT20
TURKEY HILL-MASCOUTA 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,HILG_138 KV_HIL-TURK:Prairie State-W Mt. Vernon 345,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV Prairie State-W Mt. Vernon 345
DICKERSH 230 KV DICKERSH-DICKERSO 23103,DICKERSH_230 KV_DIC-DOU2:L500.Doubs-GooseCreek.514,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC4) TEMP:L500.Doubs-GooseCreek.514 & Dickerson.23103
